hd000144_swp15936 206.847 2.996E-01 181.006 7.595E-02
hd000144_swp29402 261.939 3.025E-01 219.949 9.648E-02
hd000315_swp51670 281.883 2.370E-01 187.273 8.613E-02
hd000358_swp14954 110.663 3.727E-01 91.209 8.027E-02
hd000358_swp40448 107.088 3.436E-01 157.523 9.506E-02
hd001279_swp06756 65.946 5.284E-01 175.490 6.815E-02
hd001909_swp23106 61.177 3.624E-01 90.439 9.017E-02
hd001976_swp06250 239.935 4.079E-01 156.345 1.232E-01
hd002626_swp46894 444.485 2.438E-01 538.475 5.811E-02
hd002884_swp53043 371.777 1.856E-01 178.624 7.064E-02
hd002905_swp14939 158.589 3.254E-01 142.469 4.031E-01
hd002905_swp40359 165.457 3.021E-01 135.803 4.512E-01
hd002905_swp54038 168.226 2.912E-01 133.309 4.424E-01
hd003240_swp53240 136.396 3.992E-01 123.486 1.142E-01
hd003360_swp53874 63.545 6.743E-01 69.130 4.172E-01
hd003369_swp09141 83.261 5.680E-01 125.163 1.531E-01
hd003379_swp20584 105.491 5.754E-01 110.112 2.566E-01
hd003901_swp52659 303.343 3.595E-01 196.024 1.600E-01
hd004142_swp14612 297.305 3.005E-01 223.977 1.056E-01
hd004180_swp20436 316.839 3.009E-01 168.014 1.099E-01
hd004727_swp51960 66.360 6.126E-01 85.763 1.837E-01
hd005394_swp17093 505.037 1.317E-01 409.281 3.056E-01
hd005394_swp53910 419.600 1.417E-01 355.631 3.315E-01
hd005394_swp56621 410.435 1.311E-01 332.499 3.220E-01
hd005737_swp32137 63.847 6.008E-01 72.730 1.655E-01
hd006811_swp20437 132.451 3.855E-01 117.400 1.052E-01
hd007374_swp18972 64.284 4.279E-01 67.190 8.350E-02
hd009996_swp18437 234.031 9.345E-02 43.303 1.101E-02
hd010390_swp18023 100.112 3.933E-01 170.675 6.853E-02
hd010516_swp14690 559.727 1.907E-01 338.405 1.678E-01
hd010516_swp18104 451.774 1.895E-01 371.224 1.253E-01
hd010982_swp06814 83.454 3.795E-01 80.059 6.593E-02
hd011241_swp49469 318.176 2.883E-01 193.515 2.277E-01
hd011415_swp32615 83.030 6.396E-01 90.427 1.951E-01
hd012301_swp04265 79.624 5.950E-01 90.819 1.594E-01
hd012767_swp51130 103.004 3.937E-01 142.370 9.659E-02
hd013267_swp51892 92.238 4.567E-01 119.786 4.366E-01
hd013294_swp40511 338.315 1.572E-01 198.375 6.128E-02
hd013709_swp55256 483.454 1.963E-01 388.003 5.188E-02
hd014228_swp51597 423.568 2.340E-01 232.402 7.648E-02
hd014818_swp09416 125.241 4.412E-01 128.189 2.966E-01
hd014951_swp05605 270.930 3.359E-01 192.390 6.872E-02
hd015130_swp18007 414.778 2.231E-01 164.494 4.676E-02
