   27    10   hd003360
   39    35   hd030836
   85   100   hd032630
   45    50   hd035468
  144   160   hd037490
  180   180   hd037795
   44    40   hd041753
   60    30   hd044402
  283   260   hd045725
  108   110   hd045813
  233   150   hd050013
   40    30   hd052089
   88    80   hd056139
  121   150   hd064503
   50    50   hd065575
  144   115   hd068980
   23    10   hd074195
   93   100   hd074280
   47    30   hd074375
   28    15   hd074575
  237   240   hd075311
  126   120   hd078764
   13    10   hd079447
  252   260   hd083953
  216   250   hd091465
   41    50   hd093845
  269   280   hd098718
   61    65   hd105382
   60    70   hd106983
  162   170   hd108483
  100   110   hd109668
  121   160   hd110879
  325   280   hd112078
   33    30   hd112092
  182   190   hd116087
   54    70   hd120307
  117   150   hd120315
  139   155   hd120324
   60    80   hd121743
  112   125   hd121790
  192   195   hd125238
   54    60   hd127381
  260   260   hd127972
  130   140   hd129116
   84   100   hd132058
   27    10   hd132200
  162   170   hd136298
   87    40   hd136504
  157   155   hd136664
  254   210   hd138690
  284   320   hd138749
   64    80   hd138769
  180   180   hd143118
  259   270   hd144294
  160   180   hd148605
   53    75   hd148703
  223   190   hd151890
   24    30   hd157056
   54    30   hd158408
  240   230   hd158427
  105    90   hd160578
   25    20   hd169467
  134   170   hd173948
  200   280   hd219688
