 161  11241   B1.5V             
  32  19374   B1.5V             
  48  22951   B0.5V             
  82  24131   B1V               
 102  24640   B1.5V             
 140  24760   B0.5V+A2V         
 131  27192   B1.5IV            
  21  31726   B1V               
  36  34816   B0.5IV            
 286  35149   B1V               
  30  36351   B1IV+B1.5V        
  29  36512   B0V               
  14  36591   B1IV              
 145  36695   B1V               
  41  36960   B0.5V             
 128  37017   B1.5V             
  64  37018   B1V               
 112  37021   B0V               
 304  37303   B1V               
  66  37481   B1.5IV            
  31  37744   B1.5V             
  24  39777   B1.5V             
  15  46328   B0.5IV            
  45  50707   B1IV              
 257  52918   B1V               
 287  53755   B0.5V+F5III       
 129  53974   B0.5IV            
 157  55857   B0.5V             
  79  63578   B1.5IV            
 133  64740   B1.5Vp            
 266  65818   B1Vp+B3IV:        
  92  68243   B1IV              
 153  69081   B1.5IV            
 100  70930   B1V               
 127  74273   B1.5V             
 209  74455   B1.5Vn            
  64  83058   B1.5IV            
 226  85871   B1IV              
 100  93030   B0Vp              
  89 104337   B1.5V             
 104 108248   B0.5IV            
  21 113791   B1.5V             
 162 136298   B1.5IV            
 112 143018   B1V+B2V           
 137 143275   B0.3IV            
  96 144217   B1V               
 102 144470   B1V               
  11 149438   B0V               
 223 151890   B1.5V+B6.5V       
 128 156633   B1.5Vp+B5III      
 233 180968   B0.5IV            
  35 205021   B1IV              
  55 218376   B0.5IV            
 142 224572   B1V               
