  37    358   B8IVpMnHg         
 129   2884   B9V               
  48  10390   B9IV-V            
  30  10982   B9.5V             
 128  13294   B9V               
 210  13709   B9V               
 214  14228   B8V-IV            
 117  14951   B7IV              
 180  15130   B9.5Vn            
  83  16978   B9V               
 180  17036   B9Vn              
   9  17081   B7V               
 175  17573   B8Vn              
 125  17769   B7V               
  78  18537   B7V               
  45  19356   B8V               
 211  20315   B8V               
 121  20319   B9V               
 286  21551   B8V               
  64  21790   B9V s             
 178  23324   B8V               
 296  23383   B9Vnn             
 111  24072   B9V               
 107  24388   B8V               
  61  24479   B9.5V             
 207  26676   B8Vn              
  22  27295   B9IV              
  15  27376   B9V               
 173  27742   B8IV-V            
 117  28149   B7V               
 277  28459   B9.5Vn            
 229  28867   B9IVn             
  75  29335   B7V               
 279  32309   B9.5Vn            
 123  34310   B9V               
 282  34863   B7IVnn            
 196  35640   B9.5Vn            
  60  37098   B9IV-V            
  25  38899   B9IV              
 226  43445   B9Vn              
 198  47054   B8V               
 117  49591   B9IV              
  92  61429   B8IV              
 290  74196   B7Vn              
  79  79469   B9.5V             
  95  86360   B9IV              
 247  87901   B7V               
  48  90264   B8V               
 223  91120   B9Vn              
 160 100889   B9.5Vn            
 108 101431   B9V               
 233 104174   B9Vn              
 127 113797   B9V               
 271 118991   B8Vn              
 126 127971   B7V               
  68 132742   B9.5V             
 110 140436   B9IV+A3V          
   9 141556   B9IV              
 172 145483   B9V               
  97 145842   B8V               
  79 146001   B7IV              
 115 147628   B8IV              
 278 149485   B7Vn              
 215 149630   B9V               
  93 152614   B8V               
 129 153613   B8V               
 286 157741   B9V               
 121 163955   B9V               
 128 166014   B9.5V             
  65 174632   B8V               
  17 175362   B8IVSi            
 154 177756   B9Vn              
  57 181869   B8V               
  96 186500   B8V               
 141 186882   B9.5IV+F1V        
 304 187235   B8Vn              
 151 189395   B9Vn              
 111 196867   B9IV              
  93 201908   B8Vn              
 172 204770   B7V               
 264 209014   B8V               
 192 209952   B7IV              
 194 212581   B9.5V             
 134 214923   B8V               
 107 218045   B9V               
  20 221507   B9.5IVpHgMnEu     
  51 222173   B8V               
 143 222439   B9IVn             
 129 222661   B9.5V             
  52 224112   B8V               
 207 224686   B9IV              
