 115   1976   B5IV              
  39   3369   B5V               
 157   4142   B5V               
  25   4727   B5V+F8V           
  10  15371   B5IV              
  56  17543   B6V               
 155  20809   B5V               
 268  21362   B6Vn              
 164  23227   B5IV              
  93  23338   B6IV              
 178  24504   B6V               
  41  24626   B6V               
  26  25267   B6V+B9.5V         
  75  25340   B5V               
  25  26326   B4V               
 220  26356   B5V               
 257  26670   B5Vn              
 153  31331   B5V               
 211  34959   B5Vp              
 226  35407   B4IVn             
 137  36267   B5V               
  10  39844   B6V               
 215  42545   B5Vn              
 108  45813   B4V               
 249  46487   B5Vn              
 101  48879   B4IV              
  27  59635   B5Vp              
  34  62226   B5V               
 142  65904   B4V               
  36  67888   B4V               
  18  68520   B6IV              
 141  72350   B4IV              
  63  76805   B5V               
 136  83754   B5V               
  81  90994   B6V               
 269  98718   B5Vn              
 141 100600   B4V               
 108 106231   B4IV              
 234 106911   B5Vn              
 151 109026   B5V               
 168 128345   B5V               
 159 133242   B5V               
 157 136664   B4V               
  63 137432   B4Vp              
 112 140008   B5V               
 100 142990   B5IV              
  81 143699   B6IV              
 100 147152   B6IV              
  77 156247   B5Vnn+B5V         
  44 162374   B6V               
  24 176162   B5IV              
 219 178475   B6IV              
  82 180554   B4IV              
  19 181558   B5V               
  64 185915   B6IV              
 105 188665   B5V               
  38 188892   B5IV              
 271 196740   B5IV              
 146 199081   B5V               
  99 199955   B5Vn              
 123 202654   B4IV              
  34 202753   B5V               
  66 203245   B6V               
  14 206540   B5IV              
  44 211924   B5IV              
  63 212120   B6V               
  14 215573   B6IV              
 200 219688   B5V               
  63 224113   B6V               
