hd000144_swp15936 89 5.026E-01 100 2.996E-01
hd000144_swp29402 98 5.088E-01 127 3.025E-01
hd000315_swp51670 77 4.348E-01 138 2.370E-01
hd000358_swp14954 44 4.935E-01 54 3.727E-01
hd000358_swp40448 30 4.411E-01 53 3.436E-01
hd001279_swp06756 9 6.685E-01 25 5.284E-01
hd001909_swp23106 -999 5.317E-01 23 3.624E-01
hd001976_swp06250 118 3.870E-01 115 4.079E-01
hd002626_swp46894 231 2.683E-01 263 2.438E-01
hd002884_swp53043 135 4.223E-01 201 1.856E-01
hd002905_swp14939 61 1.151E-01 79 3.254E-01
hd002905_swp40359 68 1.224E-01 82 3.021E-01
hd002905_swp54038 58 1.095E-01 83 2.912E-01
hd003240_swp53240 53 6.218E-01 68 3.992E-01
hd003360_swp53874 50 3.245E-01 24 6.743E-01
hd003369_swp09141 60 4.823E-01 39 5.680E-01
hd003379_swp20584 66 3.872E-01 52 5.754E-01
hd003901_swp52659 133 3.155E-01 151 3.595E-01
hd004142_swp14612 157 3.141E-01 148 3.005E-01
hd004180_swp20436 178 2.978E-01 160 3.009E-01
hd004727_swp51960 24 5.356E-01 25 6.126E-01
hd005394_swp53910 220 1.008E-01 242 1.417E-01
hd005737_swp14984 21 6.587E-01 24 5.980E-01
hd005737_swp32137 22 6.306E-01 24 6.008E-01
hd006811_swp20437 69 5.350E-01 67 3.855E-01
hd007374_swp18972 20 5.729E-01 24 4.279E-01
hd010390_swp18023 44 6.597E-01 48 3.933E-01
hd010516_swp14690 319 1.127E-01 376 1.907E-01
hd010516_swp18104 276 1.210E-01 270 1.895E-01
hd010982_swp06814 29 6.595E-01 39 3.795E-01
hd011241_swp49469 176 1.902E-01 161 2.883E-01
hd011415_swp32615 45 5.670E-01 39 6.396E-01
hd012301_swp04265 27 6.037E-01 36 5.950E-01
hd012767_swp51130 37 5.451E-01 50 3.937E-01
hd013267_swp51892 40 3.935E-01 44 4.567E-01
hd013294_swp40511 123 3.295E-01 175 1.572E-01
hd013709_swp55256 220 3.348E-01 300 1.963E-01
hd014228_swp51597 214 3.377E-01 244 2.340E-01
hd014818_swp09416 45 2.085E-01 63 4.412E-01
hd014951_swp05605 117 4.373E-01 132 3.359E-01
hd015130_swp18007 185 3.753E-01 237 2.231E-01
hd015318_swp48525 44 6.249E-01 48 3.202E-01
hd015371_swp21046 10 7.198E-01 22 6.344E-01
hd016978_swp24455 82 5.738E-01 101 2.744E-01
hd017036_swp46700 180 3.750E-01 195 2.250E-01
hd017081_swp16256 9 8.643E-01 25 5.875E-01
