90 hd002905 B1Ia
63 hd014818 B2Ia
55 hd024398 B1Ib
51 hd031327 B2Ib
97 hd037128 B0Ia
82 hd038771 B0.5Ia
129 hd040111 B0.5II
62 hd041117 B2Ia
68 hd042087 B2.5Ib
42 hd043384 B3Ib
28 hd044743 B1II-III
117 hd047240 B1Ib
62 hd049567 B3II-III
162 hd051283 B3II-III
42 hd051309 B3II
40 hd052089 B2II
85 hd052382 B1Ib
50 hd053138 B3Iab
231 hd064760 B0.5Ib
71 hd091316 B1Ib
67 hd106343 B1.5Ia
83 hd109867 B1Ia
133 hd113904 B0Ia+WC5:
62 hd116084 B2.5Ib
100 hd122879 B0Ia
41 hd141318 B2II
60 hd148379 B1.5Iape
78 hd148688 B1Iae
100 hd149038 B0Ia
126 hd150168 B1Iab-Ib
108 hd150898 B0.5Ia
100 hd152234 B0.5Ia
86 hd152235 B1Ia
86 hd152236 B1Iape
88 hd154090 B1Ia
60 hd157038 B4Ia
260 hd157246 B1Ib
91 hd164402 B0Ib
87 hd165024 B2Ib
72 hd165516 B0.5Ib
61 hd165793 B1II
91 hd167264 B0Ia
86 hd167756 B0.5Ia
134 hd173948 B2II-IIIe
76 hd185859 B0.5Iae
70 hd190603 B1.5Ia
124 hd191877 B1Ibe
53 hd198478 B3Ia
38 hd202214 B0II
95 hd204172 B0Ib
65 hd205139 B1II
63 hd206165 B2Ib
102 hd224151 B0.5II+B0.5II
65 hd225094 B3Ia
