9 0 0
9 1 0.0114943
9 1 0.0114943
9 2 0.0229885
10 2 0.0229885
10 3 0.0344828
18 3 0.0344828
18 4 0.045977
20 4 0.045977
20 5 0.0574713
24 5 0.0574713
24 6 0.0689655
25 6 0.0689655
25 7 0.0804598
38 7 0.0804598
38 8 0.091954
39 8 0.091954
39 9 0.103448
44 9 0.103448
44 10 0.114943
45 10 0.114943
45 11 0.126437
53 11 0.126437
53 12 0.137931
54 12 0.137931
54 13 0.149425
63 13 0.149425
63 14 0.16092
64 14 0.16092
64 15 0.172414
66 15 0.172414
66 16 0.183908
75 16 0.183908
75 17 0.195402
75 17 0.195402
75 18 0.206897
81 18 0.206897
81 19 0.218391
81 19 0.218391
81 20 0.229885
82 20 0.229885
82 21 0.241379
82 21 0.241379
82 22 0.252874
83 22 0.252874
83 23 0.264368
83 23 0.264368
83 24 0.275862
93 24 0.275862
93 25 0.287356
102 25 0.287356
102 26 0.298851
105 26 0.298851
105 27 0.310345
107 27 0.310345
107 28 0.321839
111 28 0.321839
111 29 0.333333
115 29 0.333333
115 30 0.344828
117 30 0.344828
117 31 0.356322
117 31 0.356322
117 32 0.367816
123 32 0.367816
123 33 0.37931
125 33 0.37931
125 34 0.390805
128 34 0.390805
128 35 0.402299
129 35 0.402299
129 36 0.413793
129 36 0.413793
129 37 0.425287
129 37 0.425287
129 38 0.436782
134 38 0.436782
134 39 0.448276
136 39 0.448276
136 40 0.45977
136 40 0.45977
136 41 0.471264
136 41 0.471264
136 42 0.482759
137 42 0.482759
137 43 0.494253
144 43 0.494253
144 44 0.505747
146 44 0.505747
146 45 0.517241
153 45 0.517241
153 46 0.528736
160 46 0.528736
160 47 0.54023
168 47 0.54023
168 48 0.551724
172 48 0.551724
172 49 0.563218
172 49 0.563218
172 50 0.574713
174 50 0.574713
174 51 0.586207
175 51 0.586207
175 52 0.597701
178 52 0.597701
178 53 0.609195
178 53 0.609195
178 54 0.62069
180 54 0.62069
180 55 0.632184
185 55 0.632184
185 56 0.643678
192 56 0.643678
192 57 0.655172
193 57 0.655172
193 58 0.666667
194 58 0.666667
194 59 0.678161
197 59 0.678161
197 60 0.689655
198 60 0.689655
198 61 0.701149
200 61 0.701149
200 62 0.712644
200 62 0.712644
200 63 0.724138
205 63 0.724138
205 64 0.735632
207 64 0.735632
207 65 0.747126
210 65 0.747126
210 66 0.758621
211 66 0.758621
211 67 0.770115
211 67 0.770115
211 68 0.781609
214 68 0.781609
214 69 0.793103
214 69 0.793103
214 70 0.804598
215 70 0.804598
215 71 0.816092
215 71 0.816092
215 72 0.827586
219 72 0.827586
219 73 0.83908
219 73 0.83908
219 74 0.850575
220 74 0.850575
220 75 0.862069
220 75 0.862069
220 76 0.873563
234 76 0.873563
234 77 0.885057
239 77 0.885057
239 78 0.896552
245 78 0.896552
245 79 0.908046
247 79 0.908046
247 80 0.91954
249 80 0.91954
249 81 0.931034
252 81 0.931034
252 82 0.942529
261 82 0.942529
261 83 0.954023
268 83 0.954023
268 84 0.965517
271 84 0.965517
271 85 0.977011
282 85 0.977011
282 86 0.988506
284 86 0.988506
284 87 1
