   63    82   hd014818
   55    67   hd024398
   51    60   hd031327
   49    65   hd036371
   62    72   hd041117
   68    71   hd042087
   42    59   hd043384
   42    46   hd051309
   40    48   hd052089
   50    58   hd053138
   46    50   hd058350
   52    57   hd079186
   30    28   hd086440
   67    81   hd106343
   58    68   hd111973
   62    73   hd116084
   41    47   hd141318
   60    70   hd148379
   78    72   hd148688
   86    74   hd152236
   60    69   hd157038
   40    44   hd164353
   87   100   hd165024
   70    79   hd190603
  124   152   hd191877
   53    61   hd198478
   63    73   hd206165
   74   101   hd223987
   65    68   hd225094
