   90    91   hd002905
  231   197   hd024534
   97    91   hd037128
   82    83   hd038771
  129   124   hd040111
  117   103   hd047240
  150   128   hd048279
   85    74   hd052382
   51    57   hd055879
  231   216   hd064760
  120    51   hd075759
  120    50   hd075759
   59    55   hd086606
   71    75   hd091316
   83    82   hd109867
  133   100   hd113904
  100    92   hd122879
  100    86   hd149038
  405   372   hd149757
  126   121   hd150168
  108    95   hd150898
  100    76   hd152234
   86    81   hd152235
   88    78   hd154090
  260   245   hd157246
   91    77   hd164402
   62    64   hd164637
   72    70   hd165516
   91    88   hd167264
   86    79   hd167756
   76    74   hd185859
  100    91   hd201345
   95    87   hd204172
   65    62   hd205139
  278   197   hd219188
  102   115   hd224151
  102    65   hd224151
